"BoxID","Lon","Lat","1997 Jun","1997 Jul","1997 Aug","1998 Jun","1998 Jul","1998 Aug","1999 Jun","1999 Jul","1999 Aug","2000 Jun","2000 Jul","2000 Aug","2001 Jun","2001 Jul","2001 Aug","2002 Jun","2002 Jul","2002 Aug","2003 Jun","2003 Jul","2003 Aug","2004 Jun","2004 Jul","2004 Aug","2005 Jun","2005 Jul","2005 Aug","2006 Jun","2006 Jul","2006 Aug","2007 Jun","2007 Jul","2007 Aug","2008 Jun","2008 Jul","2008 Aug","2009 Jun","2009 Jul","2009 Aug","2010 Jun","2010 Jul","2010 Aug","2011 Jun","2011 Jul","2011 Aug"
707,84.269737,36.839497,-6.3696194,-8.689517,-9.4249229,-7.1196938,-6.7396064,-9.3965425,-5.4378705,-9.2148666,-10.527073,-6.912466,-11.717193,-9.1846237,-8.3964214,-8.6376028,-11.250453,-5.5795174,-7.3105907,-7.3459425,-4.9527912,-7.0895038,-9.7256956,-6.9598565,-8.4331865,-8.5800056,-6.1297421,-9.46766,-7.8000441,-6.2060914,-6.3080235,-11.703378,-4.5624037,-7.8644829,-8.6652718,-6.2956347,-7.4357424,-15.391371,-5.287467,-6.222178,-7.6737556,-7.7108102,-12.163588,-12.954193,-6.6952624,-7.1794615,-10.802043
708,84.927635,36.839497,-12.729963,-12.206867,-13.880963,-9.1148977,-10.877544,-12.720521,-8.3949175,-11.930213,-14.468951,-10.380641,-12.709029,-13.580091,-12.667699,-12.505171,-13.909003,-8.2791986,-8.0844507,-8.992197,-8.4614792,-10.935492,-11.043661,-10.547027,-9.499094,-10.028682,-8.6283531,-13.141872,-9.5229454,-10.410142,-8.0800705,-14.492028,-10.219623,-11.913049,-10.014534,-9.6921082,-9.272172,-14.930212,-7.1631594,-8.4898767,-9.2138815,-11.029363,-12.315564,-13.742672,-9.8048401,-10.80392,-11.862957
709,85.585526,36.839497,-13.768006,-13.171088,-13.940178,-9.4584007,-11.542103,-13.518295,-9.0779371,-12.850655,-15.044118,-11.046785,-13.216724,-14.217403,-13.550449,-13.371534,-14.767935,-8.725482,-9.3207054,-9.4327927,-9.211442,-11.15853,-11.329233,-10.820717,-10.129014,-10.208375,-9.548255,-13.89002,-9.7693033,-10.542868,-8.6420155,-14.930886,-10.941391,-12.382392,-11.049466,-10.259971,-10.071519,-14.829764,-7.2839565,-8.8935871,-9.465169,-11.51826,-11.962849,-14.073569,-10.073949,-11.586289,-11.853681
710,86.243423,36.839497,-12.335393,-11.85488,-12.195366,-8.8499107,-10.980375,-12.660901,-7.8870492,-11.756066,-12.926661,-10.393263,-11.995628,-12.518786,-12.443195,-12.491753,-13.540801,-7.5373769,-9.0773735,-8.897666,-7.3555474,-9.8253889,-10.76818,-9.5537596,-8.6705036,-9.3316135,-7.6216493,-12.41236,-9.3201284,-9.0975227,-8.4193001,-13.254397,-10.592368,-11.62074,-11.154243,-9.534481,-9.9588346,-13.535423,-6.4018145,-7.8066721,-8.7195959,-10.767074,-10.688782,-13.229992,-9.5881882,-10.551971,-11.007466
711,86.901314,36.839497,-11.593928,-9.90382,-11.571776,-9.3500996,-11.427325,-13.700438,-8.2907677,-11.471164,-12.382945,-11.239758,-12.206657,-12.85483,-14.821345,-13.176859,-14.096245,-8.7554207,-8.5465307,-9.0961256,-8.4893599,-10.831183,-11.406115,-10.129413,-8.2965412,-9.3920126,-8.8805447,-13.630917,-9.5528879,-10.344207,-9.5970678,-12.999828,-11.629038,-11.923294,-12.1206,-10.236095,-10.555439,-13.766746,-6.7461653,-8.3596563,-9.5287657,-10.19129,-10.339988,-12.54538,-9.8922071,-10.119533,-11.12275
712,87.559212,36.839497,-9.9361296,-8.0012493,-10.583817,-8.5982122,-10.42415,-13.359068,-7.4115176,-10.928155,-10.836015,-10.21277,-11.732923,-12.073393,-12.887642,-12.177945,-13.953952,-7.3543086,-7.8656464,-9.483243,-6.7262034,-8.7171297,-10.652088,-8.3869486,-7.9659286,-8.5297689,-7.4044552,-12.581615,-9.92099,-8.3560333,-9.6046638,-12.240807,-10.259228,-11.763551,-11.994491,-9.4953156,-10.443602,-12.511858,-5.2575617,-7.2161231,-8.8572416,-9.6733198,-8.5463896,-11.841884,-9.4286633,-9.2680435,-10.500608
713,88.217102,36.839497,-10.580132,-6.966948,-10.099661,-8.445694,-10.791706,-13.768443,-7.2496657,-10.545951,-11.674047,-10.276296,-11.848356,-12.421456,-13.061431,-12.429273,-14.559945,-7.5960059,-7.3785739,-9.0051403,-6.5453587,-7.9929886,-10.301261,-7.8948936,-8.1812716,-8.2023621,-7.3499317,-11.988417,-10.02372,-8.0502567,-9.725153,-12.222469,-9.7478027,-11.494381,-11.921086,-9.2074633,-11.381607,-12.179079,-4.4701223,-6.6252322,-9.4377899,-10.005811,-8.477087,-11.866615,-9.8420048,-9.7024717,-10.397565
714,88.875,36.839497,-11.119111,-7.5278687,-10.850661,-8.8170862,-11.827791,-14.268305,-8.4590712,-9.9587908,-12.380731,-10.871374,-12.147467,-13.643001,-14.138619,-13.222979,-15.008081,-8.3774071,-7.5407252,-8.9006338,-7.3959699,-8.9997454,-10.5882,-8.677659,-9.0102158,-9.0246038,-8.0910864,-12.43348,-10.614337,-9.1762056,-9.79741,-12.232206,-10.410531,-11.600361,-12.01335,-10.210568,-11.967492,-11.866397,-5.4228096,-7.0248051,-9.9960709,-10.259291,-8.8289938,-11.172432,-9.7214632,-9.8927622,-10.672365
715,89.532898,36.839497,-12.604062,-8.2157717,-11.402418,-9.0336561,-12.042902,-14.322936,-9.5330153,-9.6953936,-12.965878,-11.735493,-12.915152,-14.577744,-15.882157,-13.793729,-15.646991,-9.2643452,-7.7343216,-8.667923,-8.4900923,-9.6519632,-11.094906,-9.2789278,-9.3545713,-9.6579084,-9.4880571,-13.152096,-11.045694,-10.085411,-10.095311,-11.670283,-10.25839,-11.581489,-12.23391,-10.662823,-11.908285,-11.833685,-5.3277645,-7.8538852,-10.032558,-10.511459,-9.519042,-11.108119,-10.287959,-9.974535,-11.107464
716,90.190788,36.839497,-10.317392,-7.3352299,-11.414598,-9.6272144,-11.611225,-13.390291,-7.9643922,-9.1895094,-12.725927,-10.17775,-12.311986,-13.59594,-12.500428,-12.798125,-14.760379,-6.3492169,-7.828402,-9.0565643,-6.6473136,-8.3747692,-10.837205,-7.0193734,-9.0750818,-9.8341045,-7.3298049,-12.393977,-11.888021,-8.7500763,-9.9168339,-10.65064,-9.4408894,-10.973866,-12.35755,-9.3472586,-12.149045,-12.137718,-5.1463423,-8.8320265,-10.818883,-9.9045181,-9.3633728,-11.150525,-10.010745,-9.9617929,-10.785777
